source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
11100,"Amarillo, TX",2,9,16860,"Chattanooga, TN-GA",4,3.4546297800944803,13956.0,91.464,76.55,72161.0,78895.52173532757,62800.371904345215,47541.90955850423,0.286937745330927,0.2907488986784141
11100,"Amarillo, TX",2,10,17980,"Columbus, GA-AL",2,3.5935050683315577,12828.0,89.296,61.185,59336.0,66448.66511377889,62088.856915922086,47723.15184514624,0.2837119690139352,0.28152492668621704
11180,"Ames, IA",4,1,26980,"Iowa City, IA",4,5.088409894078349,13164.0,91.509,83.99,75088.0,82055.31696335878,67430.9239948099,53045.45371319825,0.24931097387042098,0.3543046357615894
11180,"Ames, IA",4,2,22020,"Fargo, ND-MN",4,5.137568762344941,11604.0,90.871,81.142,76756.0,84466.99166950952,70028.45303293191,57258.702507461734,0.2124077502340074,0.3530864197530864
11180,"Ames, IA",4,3,16580,"Champaign-Urbana, IL",4,5.370607185081326,12516.0,92.704,71.604,65528.0,70685.19157749396,69408.1661432769,55907.130589255496,0.22760665799329224,0.34036144578313254
11180,"Ames, IA",4,4,24220,"Grand Forks, ND-MN",4,5.406669978499092,11604.0,86.663,59.664,69836.0,80583.40929808568,73071.52429956778,59681.72703891446,0.21408348900295954,0.34156378600823045
11180,"Ames, IA",4,5,47940,"Waterloo-Cedar Falls, IA",4,5.504515837699326,11724.0,87.057,63.13,70811.0,81338.66317470162,68655.5861916745,55188.54735505022,0.23019771670532055,0.3227848101265823
11180,"Ames, IA",4,6,16300,"Cedar Rapids, IA",4,5.534291958349597,11136.0,88.963,71.447,78080.0,87766.82441014805,67989.84945273602,55472.285971288664,0.21432513824084137,0.3076923076923077
11180,"Ames, IA",4,7,13900,"Bismarck, ND",4,5.67741807180914,12252.0,91.024,84.013,85156.0,93553.3485674108,70374.38485583403,56914.198531348185,0.22044076465903792,0.4201388888888889
11180,"Ames, IA",4,8,30700,"Lincoln, NE",4,5.7330002077701225,12984.0,91.581,84.208,75049.0,81948.22070080039,66038.39117887121,51860.77791847877,0.24763292461288774,0.40046296296296297
